[1726161379.567605]: 000001.png 	 0.0 [m]
[1726161379.6712651]: 000002.png 	 0.0 [m]
[1726161379.738868]: 000003.png 	 0.0 [m]
[1726161379.8028438]: 000004.png 	 0.0 [m]
[1726161379.948598]: 000005.png 	 0.0 [m]
[1726161379.978059]: 000006.png 	 0.0 [m]
[1726161380.0841641]: 000007.png 	 0.0 [m]
[1726161380.113313]: 000008.png 	 0.0 [m]
[1726161380.212079]: 000009.png 	 0.0 [m]
[1726161380.326307]: 000010.png 	 0.0 [m]
[1726161380.355789]: 000011.png 	 0.0 [m]
[1726161380.4233458]: 000012.png 	 0.0 [m]
[1726161380.453645]: 000013.png 	 0.0 [m]
[1726161380.5156322]: 000014.png 	 0.0 [m]
[1726161380.569671]: 000015.png 	 0.0 [m]
[1726161380.6363242]: 000016.png 	 0.0 [m]
[1726161380.735701]: 000017.png 	 0.0 [m]
[1726161380.802613]: 000018.png 	 0.0 [m]
[1726161380.870483]: 000019.png 	 0.0 [m]
[1726161380.936176]: 000020.png 	 0.0 [m]
[1726161381.00288]: 000021.png 	 0.0 [m]
[1726161381.070475]: 000022.png 	 0.0 [m]
[1726161381.135624]: 000023.png 	 0.0 [m]
[1726161381.203051]: 000024.png 	 0.0 [m]
[1726161381.269652]: 000025.png 	 0.0 [m]
[1726161381.336672]: 000026.png 	 0.0 [m]
[1726161381.40299]: 000027.png 	 0.0 [m]
[1726161381.4708889]: 000028.png 	 0.0 [m]
[1726161381.509821]: 000029.png 	 0.0 [m]
[1726161381.602035]: 000030.png 	 0.0 [m]
[1726161381.6366851]: 000031.png 	 0.0 [m]
[1726161381.703341]: 000032.png 	 0.0 [m]
[1726161381.771256]: 000033.png 	 0.0 [m]
[1726161381.837239]: 000034.png 	 0.0 [m]
[1726161381.9042869]: 000035.png 	 0.0 [m]
[1726161381.970241]: 000036.png 	 0.0 [m]
[1726161382.0362802]: 000037.png 	 0.0 [m]
[1726161382.102245]: 000038.png 	 0.0 [m]
[1726161382.169388]: 000039.png 	 0.0 [m]
[1726161382.236492]: 000040.png 	 0.0 [m]
[1726161382.302652]: 000041.png 	 0.0 [m]
[1726161382.369813]: 000042.png 	 0.0 [m]
[1726161382.4365382]: 000043.png 	 0.0 [m]
[1726161382.503374]: 000044.png 	 0.0 [m]
[1726161382.5694442]: 000045.png 	 0.0 [m]
[1726161382.635972]: 000046.png 	 0.0 [m]
[1726161382.703535]: 000047.png 	 0.0 [m]
[1726161382.7703412]: 000048.png 	 0.0 [m]
[1726161382.836332]: 000049.png 	 0.0 [m]
[1726161382.903378]: 000050.png 	 0.0 [m]
[1726161382.96919]: 000051.png 	 0.0 [m]
[1726161383.035923]: 000052.png 	 0.0 [m]
[1726161383.103029]: 000053.png 	 0.0 [m]
[1726161383.169516]: 000054.png 	 0.0 [m]
[1726161383.235442]: 000055.png 	 0.0 [m]
[1726161383.302471]: 000056.png 	 0.0 [m]
[1726161383.3692229]: 000057.png 	 0.0 [m]
[1726161383.435379]: 000058.png 	 0.0 [m]
[1726161383.50305]: 000059.png 	 0.0 [m]
[1726161383.566978]: 000060.png 	 0.0 [m]
[1726161383.602338]: 000061.png 	 0.0 [m]
[1726161383.671016]: 000062.png 	 0.0 [m]
[1726161383.736476]: 000063.png 	 0.0 [m]
[1726161383.802916]: 000064.png 	 0.0 [m]
[1726161383.8704488]: 000065.png 	 0.0 [m]
[1726161383.936096]: 000066.png 	 0.0 [m]
[1726161384.003003]: 000067.png 	 0.0 [m]
[1726161384.0706198]: 000068.png 	 0.0 [m]
[1726161384.136374]: 000069.png 	 0.0 [m]
[1726161384.203893]: 000070.png 	 0.0 [m]
[1726161384.2693608]: 000071.png 	 0.0 [m]
[1726161384.3355992]: 000072.png 	 0.0 [m]
[1726161384.4027798]: 000073.png 	 0.0 [m]
[1726161384.4699242]: 000074.png 	 0.0 [m]
[1726161384.536619]: 000075.png 	 0.0 [m]
[1726161384.60337]: 000076.png 	 0.0 [m]
[1726161384.670153]: 000077.png 	 0.0 [m]
[1726161384.736112]: 000078.png 	 0.0 [m]
[1726161384.802598]: 000079.png 	 0.0 [m]
[1726161384.869836]: 000080.png 	 0.0 [m]
[1726161384.936634]: 000081.png 	 0.0 [m]
[1726161385.00394]: 000082.png 	 0.0 [m]
[1726161385.06977]: 000083.png 	 0.0 [m]
[1726161385.135937]: 000084.png 	 0.0 [m]
[1726161385.202466]: 000085.png 	 0.0 [m]
[1726161385.2701719]: 000086.png 	 0.0 [m]
[1726161385.336253]: 000087.png 	 0.0 [m]
[1726161385.4030359]: 000088.png 	 0.0 [m]
[1726161385.47026]: 000089.png 	 0.0 [m]
[1726161385.5372548]: 000090.png 	 0.0 [m]
[1726161385.598197]: 000091.png 	 0.0 [m]
[1726161385.634864]: 000092.png 	 0.0 [m]
[1726161385.703004]: 000093.png 	 0.0 [m]
[1726161385.7707038]: 000094.png 	 0.0 [m]
[1726161385.836972]: 000095.png 	 0.0 [m]
[1726161385.903693]: 000096.png 	 0.0 [m]
[1726161385.969528]: 000097.png 	 0.0 [m]
[1726161386.035396]: 000098.png 	 0.0 [m]
[1726161386.102794]: 000099.png 	 0.0 [m]
[1726161386.169719]: 000100.png 	 0.0 [m]
[1726161386.235699]: 000101.png 	 0.0 [m]
[1726161386.302815]: 000102.png 	 0.0 [m]
[1726161386.36991]: 000103.png 	 0.0 [m]
[1726161386.436714]: 000104.png 	 0.0 [m]
[1726161386.502489]: 000105.png 	 0.0 [m]
[1726161386.569955]: 000106.png 	 0.0 [m]
[1726161386.636052]: 000107.png 	 0.0 [m]
[1726161386.7026792]: 000108.png 	 0.0 [m]
[1726161386.770507]: 000109.png 	 0.0 [m]
[1726161386.836191]: 000110.png 	 0.0 [m]
[1726161386.9026802]: 000111.png 	 0.0 [m]
[1726161386.9696481]: 000112.png 	 0.0 [m]
[1726161387.0360498]: 000113.png 	 0.0 [m]
[1726161387.102352]: 000114.png 	 0.0 [m]
[1726161387.169365]: 000115.png 	 0.0 [m]
[1726161387.23543]: 000116.png 	 0.0 [m]
[1726161387.303956]: 000117.png 	 0.0 [m]
[1726161387.369699]: 000118.png 	 0.0 [m]
[1726161387.4357]: 000119.png 	 0.0 [m]
[1726161387.502346]: 000120.png 	 0.0 [m]
[1726161387.5657191]: 000121.png 	 0.0 [m]
[1726161387.6023018]: 000122.png 	 0.0 [m]
[1726161387.6368132]: 000123.png 	 0.0 [m]
[1726161387.703423]: 000124.png 	 0.0 [m]
[1726161387.7708118]: 000125.png 	 0.0 [m]
[1726161387.8361769]: 000126.png 	 0.0 [m]
[1726161387.90304]: 000127.png 	 0.0 [m]
[1726161387.969515]: 000128.png 	 0.0 [m]
[1726161388.038078]: 000129.png 	 0.0 [m]
[1726161388.103065]: 000130.png 	 0.0 [m]
[1726161388.1705909]: 000131.png 	 0.0 [m]
[1726161388.236526]: 000132.png 	 0.0 [m]
[1726161388.302631]: 000133.png 	 0.0 [m]
[1726161388.370134]: 000134.png 	 0.0 [m]
[1726161388.436685]: 000135.png 	 0.0 [m]
[1726161388.502741]: 000136.png 	 0.0 [m]
[1726161388.569279]: 000137.png 	 0.0 [m]
[1726161388.6361039]: 000138.png 	 0.0 [m]
[1726161388.7023501]: 000139.png 	 0.0 [m]
[1726161388.7694552]: 000140.png 	 0.0 [m]
[1726161388.8355799]: 000141.png 	 0.0 [m]
[1726161388.902376]: 000142.png 	 0.0 [m]
[1726161388.970422]: 000143.png 	 0.0 [m]
[1726161389.03669]: 000144.png 	 0.0 [m]
[1726161389.1022751]: 000145.png 	 0.0 [m]
[1726161389.169236]: 000146.png 	 0.0 [m]
[1726161389.236725]: 000147.png 	 0.0 [m]
[1726161389.302216]: 000148.png 	 0.0 [m]
[1726161389.369913]: 000149.png 	 0.0 [m]
[1726161389.4361331]: 000150.png 	 0.0 [m]
[1726161389.5048919]: 000151.png 	 0.0 [m]
[1726161389.543377]: 000152.png 	 0.0 [m]
[1726161389.6346738]: 000153.png 	 0.0 [m]
[1726161389.702891]: 000154.png 	 0.0 [m]
[1726161389.7705321]: 000155.png 	 0.0 [m]
[1726161389.8367171]: 000156.png 	 0.0 [m]
[1726161389.903191]: 000157.png 	 0.0 [m]
[1726161389.969646]: 000158.png 	 0.0 [m]
[1726161390.0360708]: 000159.png 	 0.0 [m]
[1726161390.1024]: 000160.png 	 0.0 [m]
[1726161390.1703591]: 000161.png 	 0.0 [m]
