,num_points,num_queries,num_experiments,naive_time,kdtreenn_time
0,2,16384,1,0.205959,0.393834
1,4,16384,1,0.238125,0.595166
2,8,16384,1,0.441333,1.08
3,16,16384,1,0.6315,1.44525
4,32,16384,1,0.969917,2.00008
5,64,16384,1,1.51958,2.61379
6,128,16384,1,2.45292,3.10108
7,256,16384,1,4.068,3.88013
8,512,16384,1,7.06163,4.62792
9,1024,16384,1,14.3017,5.11354
10,2048,16384,1,24.1439,5.54713
11,4096,16384,1,45.8798,6.08358
12,8192,16384,1,89.7132,6.59467
13,16384,16384,1,177.591,7.23504
14,32768,16384,1,353.205,8.2605
15,65536,16384,1,703.513,9.06483
16,131072,16384,1,1406.36,10.07
17,262144,16384,1,2831.71,12.899
18,524288,16384,1,5755.72,17.3293
19,1048576,16384,1,11378.8,19.0173
