id,environment,k,delta,epsilon,num_experiments,numTimeouts,time,conservativeSuccess,errorXYZ,errorTheta,numVoxels,numClusters,localizationVolume,localizationVolumePercentage,localizationVolumeXYT,localizationVolumePercentageXYT
1,/fdml/scans/labs/lab363.obj,10,0.1,0.0,10,0.0,14.473691600000004,1.0,1.0400398987410846,2.8304752979985137,585.2,1.0,0.007647524261038044,1.744031906127912e-05,0.1782505762902972,0.0011140823364257841
2,/fdml/scans/labs/lab363.obj,10,0.1,0.01,10,0.0,56.2786292,1.0,1.5448572679234978,3.0260546503594288,10248.6,1.0,0.1339309930650422,0.00030543208122248513,2.1513053202507177,0.013445854187011691
3,/fdml/scans/labs/lab363.obj,10,0.1,0.025,10,0.0,136.3836331,1.0,1.6496114447413475,3.15216801730983,31071.0,1.0,0.40604276540422796,0.0009259879589074528,4.2586354512471525,0.026616859436035145
4,/fdml/scans/labs/lab363.obj,10,0.1,0.05,10,0.0,454.93505830000004,1.0,1.7034828504702275,3.1773926647511685,122600.8,1.0,1.6021746282044522,0.003653788566599343,11.829447977938111,0.07393512725830068
5,/fdml/scans/labs/lab363.obj,10,0.05,0.0,10,0.0,18.622012400000003,1.0,0.5734541563384548,2.811881170470908,565.5,1.0,0.00046188001640646485,1.053325831890095e-06,0.021556540117626817,0.00013473033905029284
6,/fdml/scans/labs/lab363.obj,10,0.05,0.01,10,0.0,272.4991916,1.0,1.45949030900123,2.9858322337591985,69938.1,1.0,0.05712291914329224,0.0001302698627118105,1.4682174351218134,0.009176492691040008
7,/fdml/scans/labs/lab363.obj,10,0.05,0.025,10,0.0,849.9270790999999,1.0,1.6158098743296683,3.1255880709803283,275582.9,1.0,0.22508617926308397,0.0005133131518957235,3.1656605032658125,0.019785666465759282
8,/fdml/scans/labs/lab363.obj,10,0.05,0.05,10,0.0,3867.843187500001,1.0,1.6984143755103003,3.1781288408987507,1337828.7,1.0,1.0926902597407688,0.002491900138469683,9.817720396654694,0.06136164665222189
9,/fdml/scans/labs/lab363.obj,20,0.1,0.0,10,0.0,8.6869543,1.0,0.3121355180626443,3.09958070973885,150.0,1.0,0.0019602334913802317,4.4703483581542715e-06,0.04577570012591071,0.0002861022949218743
10,/fdml/scans/labs/lab363.obj,20,0.1,0.01,10,0.0,30.0817542,1.0,1.3967143380109768,3.1076272483670833,1639.5,1.0,0.0214253520607872,4.886090755462908e-05,0.3546701245755582,0.0022167205810546945
11,/fdml/scans/labs/lab363.obj,20,0.1,0.025,10,0.0,123.54275389999998,1.0,1.6885694498832873,2.9144544056935437,14045.1,1.0,0.18354450273180617,0.00041857659816721074,1.8518712071604253,0.011574363708496058
12,/fdml/scans/labs/lab363.obj,20,0.1,0.05,10,0.0,389.7902292,1.0,2.093667817247829,3.1059417284476467,58953.1,1.0,0.7704122736056662,0.0017569392919564934,5.243759035090198,0.032773971557617354
13,/fdml/scans/labs/lab363.obj,20,0.05,0.0,10,0.0,10.474579100000001,1.0,0.09611244938484935,2.656214222559753,146.3,1.0,0.00011949256657872026,2.725049853324882e-07,0.005580820773683959,3.488063812255858e-05
14,/fdml/scans/labs/lab363.obj,20,0.05,0.01,10,0.0,83.92279579999999,1.0,1.1268024012021947,3.2488111539446187,9091.1,1.0,0.0074252827889499315,1.6933493316166815e-05,0.19942946688188443,0.0012464523315429664
15,/fdml/scans/labs/lab363.obj,20,0.05,0.025,10,0.0,663.5269832,1.0,1.6165436819074004,2.907494390674406,114919.7,1.0,0.09386226865013277,0.00021405462175697808,1.3133353537457944,0.008208465576171848
16,/fdml/scans/labs/lab363.obj,20,0.05,0.05,10,0.0,3123.3623082000004,1.0,2.029328242082106,3.1033578640715858,663683.6,1.0,0.5420728418192071,0.0012362070381321058,4.3806810970662005,0.027379655838012783
17,/fdml/scans/labs/lab363.obj,30,0.1,0.0,10,0.0,4.489270899999999,1.0,0.05408261806079725,3.2326132082388006,13.5,1.0,0.00017642101422422164,4.023313522338862e-07,0.0041198130113319804,2.5749206542968794e-05
18,/fdml/scans/labs/lab363.obj,30,0.1,0.01,10,0.0,34.9741416,1.0,0.7498952745927642,3.167415666590964,1719.4,1.0,0.022469503100533233,5.124211311341541e-05,0.42354729469834396,0.002647209167480467
19,/fdml/scans/labs/lab363.obj,30,0.1,0.025,10,0.0,208.04907909999997,1.0,1.4814872960780536,3.2427210269891065,22321.3,1.0,0.29169973220840256,0.0006652265787142053,2.8445935572243624,0.017778968811035228
20,/fdml/scans/labs/lab363.obj,30,0.1,0.05,10,0.0,591.5277584,1.0,1.979601562686001,3.262542236897277,69541.5,1.0,0.9087838489413356,0.002072498202329709,6.47424037160809,0.040464591979980584
21,/fdml/scans/labs/lab363.obj,30,0.05,0.0,10,0.0,5.043320899999999,1.0,0.029147749677147738,3.2708100231187758,19.7,1.0,1.60902499084128e-05,3.669410943984979e-08,0.0007514844104003683,4.696846008300775e-06
22,/fdml/scans/labs/lab363.obj,30,0.05,0.01,10,0.0,129.16957920000002,1.0,0.5159386069275093,3.00089571374214,14261.0,1.0,0.01164787075859074,2.6563182473224617e-05,0.28464474730794487,0.001779055595397949
23,/fdml/scans/labs/lab363.obj,30,0.05,0.025,10,0.0,1472.8518375,1.0,1.4662515746632345,3.214906761301763,209906.2,1.0,0.17144381803141834,0.00039098076521119256,2.341556759257355,0.014634943008422805
24,/fdml/scans/labs/lab363.obj,30,0.05,0.05,10,1.0,2591.637213,1.0,1.6995153757368469,3.2899758225548976,368692.3333333333,1.0,0.3011346082539386,0.0006867429862365832,2.4831028533300246,0.015519618988037057
25,/fdml/scans/labs/lab363.obj,40,0.1,0.0,10,2.0,6.316796750000001,1.0,0.0684975237244236,3.6289951457317615,19.875,1.0,0.00025973093760788175,5.923211574554433e-07,0.006065280266683177,3.790855407714839e-05
26,/fdml/scans/labs/lab363.obj,40,0.1,0.01,10,0.0,37.088353999999995,1.0,0.8409686084856649,3.1846797414929715,1278.3,1.0,0.016705109813542188,3.809630870819036e-05,0.2788960823004661,0.0017431259155273441
27,/fdml/scans/labs/lab363.obj,40,0.1,0.025,10,0.0,330.2162333999999,1.0,1.2592646557622378,3.263473479896588,26522.7,1.0,0.34660456547883056,0.0007904380559920325,3.77374871838009,0.023586273193359385
28,/fdml/scans/labs/lab363.obj,40,0.1,0.05,10,0.0,1262.2360958,1.0,1.7043722067321128,3.056486302039206,141020.5,1.0,1.842887380482026,0.0042027384042909585,12.559478843546156,0.07849788665771486
29,/fdml/scans/labs/lab363.obj,40,0.05,0.0,10,1.0,6.651551,1.0,0.021540034592432138,3.8356061241673114,19.333333333333332,1.0,1.579076979167415e-05,3.601113955179844e-08,0.0007332589001650516,4.582934909396693e-06
30,/fdml/scans/labs/lab363.obj,40,0.05,0.01,10,0.0,104.4924331,1.0,0.7529043409820527,3.113376884908125,7203.5,1.0,0.00588355914798131,1.3417564332482885e-05,0.1518532558843559,0.000949096679687507
31,/fdml/scans/labs/lab363.obj,40,0.05,0.025,10,0.0,2528.8540500000004,1.0,1.230039147328969,3.2487084411443616,254761.9,1.0,0.2080803369596346,0.000474531017239547,2.988355958111481,0.018677496910095407
32,/fdml/scans/labs/lab363.obj,40,0.05,0.05,10,1.0,8605.931536999999,1.0,1.6490619098990353,3.1130653608533794,1090295.888888889,1.0,0.8905143820141836,0.0020308343485891823,7.409318399741199,0.04630891482035311
33,/fdml/scans/labs/lab363.obj,50,0.1,0.0,10,0.0,6.746575100000001,1.0,0.06838781485345494,2.895650319254827,13.5,1.0,0.00017642101422422153,4.0233135223388603e-07,0.004119813011331968,2.5749206542968716e-05
34,/fdml/scans/labs/lab363.obj,50,0.1,0.01,10,0.0,56.177533399999994,1.0,0.7684122346580473,2.9650502158078362,1751.6,1.0,0.022890299890011505,5.2201747894288516e-05,0.3503061744968866,0.0021894454956054668
35,/fdml/scans/labs/lab363.obj,50,0.1,0.025,10,0.0,284.2444042,1.0,1.353753149984744,3.0922147952890855,18739.6,1.0,0.24489327690034068,0.00055848360061618,2.600364938485917,0.01625251770019537
36,/fdml/scans/labs/lab363.obj,50,0.1,0.05,10,0.0,1063.5677541,1.0,1.7739285872091588,3.0471896923149115,89163.4,1.0,1.1652072192381677,0.002657276391988992,7.999669802603918,0.049998664855957
37,/fdml/scans/labs/lab363.obj,50,0.05,0.0,10,0.0,7.1837541,1.0,0.03287079239537891,2.9128953810212392,16.8,1.0,1.3721634439661678e-05,3.129243850708003e-08,0.0006408598017627506,4.005432128906244e-06
38,/fdml/scans/labs/lab363.obj,50,0.05,0.01,10,0.0,158.11549989999997,1.0,0.6184623198158631,2.9828917177873224,8626.4,1.0,0.007045732579185525,1.6067922115328526e-05,0.17693452491167652,0.0011058568954467757
39,/fdml/scans/labs/lab363.obj,50,0.05,0.025,10,0.0,1884.8872458,1.0,1.1870983692844166,3.13733610306598,170050.1,1.0,0.1388907921808915,0.0003167429938927407,1.9296059752575778,0.012060213088989233
40,/fdml/scans/labs/lab363.obj,50,0.05,0.05,10,0.0,9564.913662500001,1.0,1.7128259734672173,3.0557492293851416,988578.7,1.0,0.8074354485591207,0.0018413713201279422,6.646837648932819,0.04154334068298342
41,/fdml/scans/labs/lab446.obj,10,0.1,0.0,10,1.0,6.491101888888888,1.0,0.4276266219731801,2.7836060879092575,36.888888888888886,1.0,0.0005432966863518065,1.0993745591905379e-06,0.011867033947688491,6.908840603298596e-05
42,/fdml/scans/labs/lab446.obj,10,0.1,0.01,10,0.0,8.5223168,1.0,0.831391135816595,3.389576924100301,353.0,1.0,0.005198956543794266,1.0520219802856484e-05,0.07718668338245005,0.00044937133789062466
43,/fdml/scans/labs/lab446.obj,10,0.1,0.025,10,0.0,28.1002543,1.0,1.2249024588825101,3.4688305837724527,2771.7,1.0,0.040821382018226646,8.260309696197222e-05,0.40598360801159883,0.0023635864257812622
44,/fdml/scans/labs/lab446.obj,10,0.1,0.05,10,0.0,105.9698707,1.0,1.5911542050308771,3.232442516022696,19182.5,1.0,0.2825183679924114,0.0005716830492018974,1.8735134447830224,0.010907363891601584
45,/fdml/scans/labs/lab446.obj,10,0.05,0.0,10,0.0,6.794412299999999,1.0,0.0452533080494707,3.1973298395580962,22.0,1.0,2.025089305302288e-05,4.097819328308099e-08,0.0009009481294640811,5.245208740234368e-06
46,/fdml/scans/labs/lab446.obj,10,0.05,0.01,10,0.0,15.487204199999999,1.0,0.5404586414653935,3.6251989669637865,1411.8,1.0,0.0012995550369208195,2.6296824216842917e-06,0.031160519623146494,0.0001814126968383796
47,/fdml/scans/labs/lab446.obj,10,0.05,0.025,10,0.0,85.89154570000001,1.0,1.1634889273132902,3.532077406002334,17513.9,1.0,0.016121459810971073,3.262218087911842e-05,0.2182423987063634,0.001270580291748049
48,/fdml/scans/labs/lab446.obj,10,0.05,0.05,10,0.0,606.330671,1.0,1.5525472341348023,3.270675965675428,170640.5,1.0,0.15707375072844176,0.00031784269958839024,1.3086803958905917,0.007618975639343252
49,/fdml/scans/labs/lab446.obj,20,0.1,0.0,10,1.0,4.459000111111111,1.0,0.03581281292841902,2.741336263174455,11.333333333333334,1.0,0.0001669164518309765,3.377596537272132e-07,0.0035673905732315145,2.0768907335069425e-05
50,/fdml/scans/labs/lab446.obj,20,0.1,0.01,10,0.0,8.3939168,1.0,0.5294890330503339,3.626896105394979,291.5,1.0,0.00429318932724085,8.687376976013167e-06,0.06103514055242134,0.00035533905029296904
51,/fdml/scans/labs/lab446.obj,20,0.1,0.025,10,0.0,26.8286623,1.0,1.132483447177896,3.2066795607039773,1830.0,1.0,0.026952097663296204,5.453824996948295e-05,0.28551865266470755,0.0016622543334960892
52,/fdml/scans/labs/lab446.obj,20,0.1,0.05,10,0.0,129.0630875,1.0,1.7706517217830307,3.1418054652990635,16225.6,1.0,0.2389693747790272,0.00048356056213383884,1.6539114334449163,0.009628868103027328
53,/fdml/scans/labs/lab446.obj,20,0.05,0.0,10,1.0,5.13017111111111,1.0,0.01662616078685244,2.8136114534050742,12.666666666666666,1.0,1.1659605091134384e-05,2.359350522359208e-08,0.0005005267385911565,2.9140048556857616e-06
54,/fdml/scans/labs/lab446.obj,20,0.05,0.01,10,0.0,16.102533599999997,1.0,0.3074427989336105,3.6186760278132724,1090.2,1.0,0.0010035238002911481,2.03065574169156e-06,0.02408398158808297,0.0001402139663696285
55,/fdml/scans/labs/lab446.obj,20,0.05,0.025,10,0.0,79.28031680000001,1.0,0.9964027758869098,3.3924582404788604,10607.2,1.0,0.009763876036001273,1.975744962692292e-05,0.14034724247665256,0.0008170843124389648
56,/fdml/scans/labs/lab446.obj,20,0.05,0.05,10,0.0,672.7378249999999,1.0,1.6376078779409284,3.13211165339597,124921.8,1.0,0.11498990962718106,0.00023268498480383124,1.025008686891285,0.005967473983764639
57,/fdml/scans/labs/lab446.obj,30,0.1,0.0,10,0.0,5.4325418,1.0,0.0772500908382667,3.584702726780691,9.7,1.0,0.00014286084553768872,2.890825271606441e-07,0.0029485575146097178,1.7166137695312466e-05
58,/fdml/scans/labs/lab446.obj,30,0.1,0.01,10,0.0,8.5942126,1.0,0.23977251316091008,3.1961631586213963,171.7,1.0,0.0025287842452392977,5.1170587539672865e-06,0.03787258318765395,0.00022048950195312596
59,/fdml/scans/labs/lab446.obj,30,0.1,0.025,10,0.0,36.959675,1.0,1.1091971653893629,3.0268500182659537,1770.1,1.0,0.02606989512229569,5.275309085846053e-05,0.26075076954198717,0.001518058776855472
60,/fdml/scans/labs/lab446.obj,30,0.1,0.05,10,0.0,180.5936833,1.0,1.793337044735729,2.997844973627732,17373.8,1.0,0.25587997507248594,0.0005177795886994274,1.6822831090854968,0.009794044494628904
61,/fdml/scans/labs/lab446.obj,30,0.05,0.0,10,2.0,6.41081275,1.0,0.01672760405505779,3.134992275144141,11.375,1.0,1.0470632203551599e-05,2.1187588572502097e-08,0.00045047406473204055,2.622604370117184e-06
62,/fdml/scans/labs/lab446.obj,30,0.05,0.01,10,0.0,14.246083499999997,1.0,0.09186146106391685,3.2284637289391966,609.6,1.0,0.0005611338365964875,1.1354684829711876e-06,0.013514221941961242,7.867813110351564e-05
63,/fdml/scans/labs/lab446.obj,30,0.05,0.025,10,0.0,94.9352709,1.0,0.7935538482487408,3.0127960678240697,8787.4,1.0,0.008088758982460604,1.6367807984352087e-05,0.11509202832026597,0.0006700515747070298
64,/fdml/scans/labs/lab446.obj,30,0.05,0.05,10,0.0,977.2973874999998,1.0,1.7318505613807893,2.9993328453529067,136108.1,1.0,0.12528684439808363,0.00025352109223674953,1.052393414808226,0.00612690448760987
65,/fdml/scans/labs/lab446.obj,40,0.1,0.0,10,1.0,4.995902666666667,1.0,0.04756305595000209,2.8836679876326365,12.11111111111111,1.0,0.00017837150244682788,3.609392378065318e-07,0.0037129983517307664,2.1616617838541685e-05
66,/fdml/scans/labs/lab446.obj,40,0.1,0.01,10,0.0,11.5901626,1.0,0.3167843560560145,3.270716735438467,235.8,1.0,0.0034728440595656663,7.027387619018538e-06,0.04992890724739124,0.00029067993164062447
67,/fdml/scans/labs/lab446.obj,40,0.1,0.025,10,0.0,38.8996167,1.0,1.1152670799203155,3.1555649745339474,1504.8,1.0,0.022162577357228104,4.484653472900355e-05,0.23077376814345443,0.0013435363769531247
68,/fdml/scans/labs/lab446.obj,40,0.1,0.05,10,0.0,200.30981260000001,1.0,1.5379982542217685,3.0347575956189576,13669.4,1.0,0.2013218599992999,0.00040737986564642995,1.4913803908895966,0.008682632446289052
69,/fdml/scans/labs/lab446.obj,40,0.05,0.0,10,1.0,5.445273222222222,1.0,0.017808675965135582,3.2012598393433835,12.555555555555555,1.0,1.1557327853492858e-05,2.3386544651455316e-08,0.000509627224747359,2.966986762152773e-06
70,/fdml/scans/labs/lab446.obj,40,0.05,0.01,10,0.0,23.2704583,1.0,0.1407868494066357,3.2676910277433655,958.8,1.0,0.0008825707390562829,1.7859041690826288e-06,0.02048018907022667,0.00011923313140869121
71,/fdml/scans/labs/lab446.obj,40,0.05,0.025,10,0.0,118.67917059999999,1.0,0.9600422822621084,3.210198312462783,8831.7,1.0,0.008129536917106975,1.6450323164460375e-05,0.11720516120573654,0.0006823539733886719
72,/fdml/scans/labs/lab446.obj,40,0.05,0.05,10,0.0,1168.7379127,1.0,1.5082475983238561,3.074845472483182,115422.3,1.0,0.10624566605634451,0.00021499078720860028,0.9705996103091955,0.005650711059570307
73,/fdml/scans/labs/lab446.obj,50,0.1,0.0,10,1.0,5.093787000000001,1.0,0.05380580682621851,2.8101510034308723,11.333333333333334,1.0,0.00016691645183097647,3.377596537272132e-07,0.003676596407105952,2.140469021267361e-05
74,/fdml/scans/labs/lab446.obj,50,0.1,0.01,10,0.0,18.1689084,1.0,0.7841596625477653,3.0882356490221547,320.8,1.0,0.004724717448297989,9.560585021972633e-06,0.0687996753408939,0.000400543212890627
75,/fdml/scans/labs/lab446.obj,50,0.1,0.025,10,0.0,65.5737751,1.0,1.3439949128936237,3.0157771334176173,2323.4,1.0,0.03421885448683193,6.924271583557198e-05,0.38305038289796595,0.002230072021484378
76,/fdml/scans/labs/lab446.obj,50,0.1,0.05,10,0.0,282.1970748,1.0,1.5247297946554652,3.019617500956258,14734.3,1.0,0.21700562437175747,0.0004391163587570353,1.5897639266270744,0.009255409240722648
77,/fdml/scans/labs/lab446.obj,50,0.05,0.0,10,1.0,5.444259111111111,1.0,0.0336147917709548,2.465970257794404,11.11111111111111,1.0,1.0227723764152972e-05,2.0696057213677276e-08,0.0004504740647320406,2.6226043701171837e-06
78,/fdml/scans/labs/lab446.obj,50,0.05,0.01,10,0.0,33.807083399999996,1.0,0.3539688375046779,3.2930323170569453,1156.1,1.0,0.0010641844299363438,2.153404057025889e-06,0.025644259939563995,0.00014929771423339829
79,/fdml/scans/labs/lab446.obj,50,0.05,0.025,10,0.0,238.53979169999997,1.0,1.279719616176364,3.052409069567069,13701.5,1.0,0.012612164143907461,2.5521032512185268e-05,0.19149242969882008,0.001114845275878904
80,/fdml/scans/labs/lab446.obj,50,0.05,0.05,10,0.0,1678.2978668,1.0,1.5080167332173138,3.0396931869767077,128736.9,1.0,0.11850169063107283,0.0002397911623125732,1.0501123779531722,0.006113624572753907
81,/fdml/scans/isprs/cs4.obj,10,0.1,0.0,10,0.0,90.5033375,1.0,0.13972147242858948,2.565839119363621,60.4,1.0,3.89532206342406e-05,2.7466739993542355e-11,0.0008583661626635805,2.7706846594809728e-08
82,/fdml/scans/isprs/cs4.obj,10,0.1,0.01,10,0.0,271.24827080000006,1.0,4.903215954402263,3.439029926367266,13328.5,1.0,0.008595827834833463,6.0611000662956526e-09,0.15546093179992043,5.018059164285517e-06
83,/fdml/scans/isprs/cs4.obj,10,0.1,0.025,10,0.0,1283.1426249,1.0,7.336633248574214,3.17230537014169,195924.7,1.0,0.12635592825474787,8.909623829576605e-08,1.1964672170275708,3.862027078867324e-05
84,/fdml/scans/isprs/cs4.obj,10,0.1,0.05,10,1.0,7128.218467555555,1.0,10.391085439681543,3.2443595640012273,1362656.5555555555,1.0,0.8788056532200392,6.196644587747457e-07,6.749741081353016,0.00021787210264138704
85,/fdml/scans/isprs/cs4.obj,10,0.05,0.0,10,0.0,93.3875125,1.0,0.020247385069462293,3.1787893689028754,81.8,1.0,3.297157955174738e-06,2.3248958314070308e-12,0.0001473288140538195,4.755565896630399e-09
86,/fdml/scans/isprs/cs4.obj,10,0.05,0.01,10,0.0,531.4728039999999,1.0,4.5351781584465325,3.536644540564011,73075.7,1.0,0.0029455027577661155,2.0769363118259933e-09,0.07903514640139263,2.5511428248132934e-06
87,/fdml/scans/isprs/cs4.obj,10,0.05,0.025,10,1.0,1719.0005692222223,1.0,7.247680294986704,3.21703727947962,323489.55555555556,1.0,0.013039072879078469,9.194126151707355e-09,0.2063675352628903,6.661252377348038e-06
88,/fdml/scans/isprs/cs4.obj,10,0.05,0.05,10,,,,,,,,,,,
89,/fdml/scans/isprs/cs4.obj,20,0.1,0.0,10,0.0,55.8145667,1.0,0.0373383021806559,3.5610818513749614,21.6,1.0,1.3930290822840896e-05,9.822542779147516e-12,0.0003116085565299813,1.005828380584719e-08
90,/fdml/scans/isprs/cs4.obj,20,0.1,0.01,10,0.0,115.4480501,1.0,1.4857345935480872,3.632964982068639,1386.4,1.0,0.000894118296147545,6.304617272689984e-10,0.014157992471228249,4.5699998736382604e-07
91,/fdml/scans/isprs/cs4.obj,20,0.1,0.025,10,0.0,495.6289459000001,1.0,4.282161332105401,3.560531421645539,28778.5,1.0,0.018559855298397713,1.3086946637494575e-08,0.21695024432297988,7.002847269177814e-06
92,/fdml/scans/isprs/cs4.obj,20,0.1,0.05,10,0.0,6653.555833299999,1.0,7.831241177450968,3.362906674503087,888173.1,1.0,0.5728013696106594,4.038943643394495e-07,4.878308411984051,0.00015746490098536914
93,/fdml/scans/isprs/cs4.obj,20,0.05,0.0,10,0.0,51.44523730000001,1.0,0.012463685586161264,3.272703071004569,26.4,1.0,1.0641194378558878e-06,7.503331289626477e-13,4.760686280319363e-05,1.536682248115609e-09
94,/fdml/scans/isprs/cs4.obj,20,0.05,0.01,10,0.0,147.2570585,1.0,1.0168053525950607,3.4426127875049644,6082.3,1.0,0.00024516263851784195,1.7286936326854638e-10,0.00628699115443358,2.0293518900871248e-07
